Team_Number_Id,TeamPoints,FieldGoals,X3PointShots,FreeThrows,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
2,109,0.55,0.368,0.778,7,42,25,9,8,14,16
2,114,0.565,0.348,0.714,12,43,29,9,6,13,20
2,84,0.398,0.261,0.8,14,42,22,6,4,15,18
2,95,0.388,0.304,0.759,9,45,22,10,4,12,21
2,107,0.517,0.375,0.727,5,37,32,8,3,14,23
2,88,0.405,0.25,0.75,8,36,17,10,2,18,15
2,106,0.468,0.238,0.867,9,49,32,9,7,11,23
2,101,0.427,0.353,0.684,9,38,22,6,2,12,21
2,104,0.45,0.294,0.818,10,45,26,9,6,20,28
2,95,0.396,0.389,0.696,10,33,22,8,7,6,23
2,89,0.398,0.278,0.824,11,41,22,8,2,6,26
2,103,0.398,0.294,0.688,13,50,25,10,7,10,27
2,96,0.47,0.333,0.6,9,43,23,7,3,18,21
2,108,0.42,0.333,0.839,17,44,24,8,5,11,23
2,91,0.41,0.333,0.857,13,40,22,5,2,16,23
2,103,0.494,0.313,0.875,11,45,29,5,4,13,16
2,93,0.393,0.414,0.714,12,43,24,6,2,13,14
2,90,0.448,0.368,0.714,10,47,23,8,5,16,19
2,100,0.493,0.429,0.63,8,41,20,8,6,14,24
2,111,0.432,0.357,0.704,13,48,23,5,3,14,21
2,99,0.473,0.421,0.913,5,37,18,8,3,14,15
2,98,0.462,0.304,0.778,9,39,22,9,4,13,22
2,87,0.356,0.292,0.696,14,48,14,8,5,11,23
2,75,0.37,0.211,0.611,8,40,24,7,3,13,19
2,108,0.545,0.25,0.783,11,39,23,6,0,15,11
2,104,0.404,0.429,0.706,19,51,27,10,3,13,21
2,107,0.453,0.37,0.76,11,53,27,8,4,10,24
2,93,0.419,0.241,0.7,11,44,20,7,1,11,19
2,89,0.323,0.323,0.95,16,56,21,7,4,10,23
2,101,0.4,0.273,0.577,19,40,24,14,3,11,23
2,111,0.429,0.242,0.704,13,48,27,9,5,16,31
2,115,0.438,0.483,0.767,9,42,26,13,1,15,14
2,115,0.506,0.452,0.85,8,46,29,6,1,13,26
2,106,0.417,0.4,0.8,14,47,24,8,5,8,15
2,101,0.367,0.258,0.765,21,60,21,4,3,8,17
2,79,0.352,0.25,0.769,11,42,23,4,3,14,21
2,85,0.375,0.296,0.55,12,39,21,5,3,3,20
2,104,0.456,0.435,0.88,7,37,19,8,1,11,17
2,98,0.393,0.441,0.813,18,48,24,9,3,14,23
2,100,0.448,0.24,0.941,16,43,17,7,2,9,25
2,95,0.435,0.296,0.765,12,36,28,11,5,16,16
2,95,0.43,0.385,0.55,10,47,19,7,4,16,23
2,93,0.422,0.286,0.714,9,47,28,7,4,11,18
2,108,0.5,0.4,0.8,5,42,27,7,3,11,21
2,118,0.524,0.382,0.607,11,39,32,10,5,20,28
2,89,0.398,0.25,0.7,14,47,19,10,2,15,19
2,97,0.362,0.296,0.765,18,59,24,7,5,13,23
2,110,0.511,0.273,0.714,8,47,25,7,4,9,21
2,86,0.406,0.263,0.676,10,43,16,8,4,16,25
2,96,0.42,0.2,0.791,9,44,18,6,1,16,17
2,106,0.419,0.258,0.87,9,40,29,8,1,10,32
2,116,0.506,0.346,0.739,13,42,28,7,1,7,21
2,100,0.453,0.222,0.889,7,46,29,9,2,10,23
2,101,0.443,0.333,0.938,9,41,19,7,2,16,20
2,117,0.485,0.308,0.682,12,44,26,10,4,15,28
2,113,0.45,0.286,0.971,10,37,20,12,2,11,15
2,99,0.452,0.364,0.714,11,43,30,11,2,14,24
2,117,0.548,0.417,0.682,6,38,29,20,1,7,22
2,95,0.384,0.222,0.867,17,50,24,7,6,14,19
2,105,0.494,0.433,0.571,8,38,37,9,5,16,16
3,105,0.488,0.368,0.769,9,39,20,6,7,20,21
3,102,0.483,0.269,0.846,12,48,18,3,3,8,23
3,116,0.524,0.478,0.895,9,42,25,11,3,8,21
3,91,0.439,0.381,0.647,7,42,17,6,5,18,22
