Team,Year,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
Cleveland Cavaliers,2015,82,53,29,0.646,3956,8457,3089,6739,45.8,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,1685,367,
Dallas Mavericks,2015,82,50,32,0.61,3976,8628,3255,7036,46.3,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,1816,238,
Denver Nuggets,2015,82,30,52,0.366,3976,8320,3099,7158,43.3,660,2032,32.5,1462,1991,73.4,1012,2653,3665,1788,1166,641,367,504,1882,1698,-291,
Detroit Pistons,2015,82,32,50,0.39,3966,8077,3041,7038,43.2,703,2043,34.4,1292,1838,70.3,1051,2630,3681,1771,1099,623,383,391,1559,1584,-82,
Golden State Warriors,2015,82,67,15,0.817,3946,9016,3410,7137,47.8,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828,
Houston Rockets,2015,82,56,26,0.683,3961,8522,3032,6832,44.4,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,777,407,437,1803,1730,282,
Indiana Pacers,2015,82,38,44,0.463,3971,7981,2998,6824,43.9,612,1740,35.2,1373,1817,75.6,856,2822,3678,1757,1147,505,375,386,1742,1754,23,
Los Angeles Clippers,2015,82,56,26,0.683,3946,8751,3228,6830,47.3,827,2202,37.6,1468,2067,71,784,2711,3495,2031,1012,640,409,245,1749,1766,540,
Los Angeles Lakers,2015,82,21,61,0.256,3986,8073,3054,7020,43.5,532,1546,34.4,1433,1935,74.1,952,2647,3599,1715,1086,578,366,396,1741,1589,-561,
Memphis Grizzlies,2015,82,55,27,0.671,3981,8062,3097,6763,45.8,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266,
Miami Heat,2015,82,37,45,0.451,3946,7764,2885,6330,45.6,556,1659,33.5,1438,1940,74.1,747,2461,3208,1626,1214,642,372,359,1636,1715,-213,
Milwaukee Bucks,2015,82,41,41,0.5,3986,8023,3083,6722,45.9,545,1500,36.3,1312,1734,75.7,876,2574,3450,1932,1373,789,403,392,1814,1649,35,
Minnesota Timberwolves,2015,82,16,66,0.195,3961,8016,2986,6820,43.8,406,1223,33.2,1638,2110,77.6,949,2406,3355,1771,1231,668,327,449,1571,1751,-721,
New Orleans Pelicans,2015,82,45,37,0.549,3956,8147,3108,6795,45.7,586,1583,37,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65,
New York Knicks,2015,82,17,65,0.207,3971,7535,2882,6726,42.8,560,1614,34.7,1211,1575,76.9,867,2443,3310,1746,1206,575,382,353,1768,1564,-764,
Oklahoma City Thunder,2015,82,45,37,0.549,3966,8524,3184,7119,44.7,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179,
Orlando Magic,2015,82,25,57,0.305,3951,7847,3076,6792,45.3,554,1598,34.7,1141,1565,72.9,822,2607,3429,1692,1221,647,314,441,1714,1467,-469,
